,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
591,Daniel Theis,C,27,BOS,64,63,24.2,3.8,6.6,.567,0.5,1.5,.337,3.3,5.1,.634,.605,1.4,1.8,.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.4
592,Isaiah Thomas,PG,30,WAS,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
593,Khyri Thomas,SG,23,DET,8,0,7.6,0.6,2.1,.294,0.6,1.8,.357,0.0,0.4,.000,.441,0.3,0.5,.500,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1
594,Lance Thomas,SF,31,BRK,5,4,14.0,0.8,3.6,.222,0.2,1.8,.111,0.6,1.8,.333,.250,0.6,0.6,1.000,0.2,1.6,1.8,1.0,0.0,0.0,0.8,1.6,2.4
595,Matt Thomas,SG,25,TOR,38,0,9.2,1.5,3.2,.483,1.0,2.2,.470,0.5,1.0,.514,.646,0.2,0.3,.700,0.2,1.2,1.3,0.5,0.2,0.0,0.3,0.9,4.3
596,Tristan Thompson,C,28,CLE,57,51,30.2,5.1,9.9,.512,0.2,0.4,.391,4.9,9.5,.518,.520,1.7,2.8,.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0
597,Matisse Thybulle,SG,22,PHI,62,13,19.5,1.6,4.0,.408,0.8,2.4,.349,0.8,1.6,.495,.512,0.4,0.7,.610,0.7,0.9,1.6,1.2,1.4,0.7,0.8,2.1,4.5
598,Anthony Tolliver,PF,34,TOT,53,11,15.8,1.2,3.3,.354,0.9,2.6,.333,0.3,0.7,.432,.486,0.4,0.5,.724,0.6,2.2,2.8,0.7,0.3,0.2,0.6,1.4,3.6
599,Anthony Tolliver,PF,34,POR,33,9,16.8,1.3,3.5,.368,0.9,2.7,.337,0.4,0.8,.464,.496,0.4,0.6,.684,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
600,Anthony Tolliver,PF,34,SAC,9,0,9.1,0.3,1.9,.176,0.2,1.7,.133,0.1,0.2,.500,.235,0.1,0.2,.500,0.2,1.0,1.2,0.3,0.4,0.1,0.4,0.7,1.0
601,Anthony Tolliver,PF,34,MEM,11,2,18.5,1.5,3.7,.390,1.3,3.1,.412,0.2,0.6,.286,.561,0.6,0.7,.875,0.3,2.3,2.5,0.6,0.5,0.1,0.7,1.2,4.8
602,Juan Toscano-Anderson,SF,26,GSW,13,6,20.9,2.2,4.8,.460,0.6,1.8,.348,1.6,3.1,.525,.524,0.2,0.4,.600,0.7,3.3,4.0,2.0,1.0,0.4,1.2,2.3,5.3
603,Karl-Anthony Towns,C,24,MIN,35,35,33.9,9.0,17.8,.508,3.3,7.9,.412,5.8,9.9,.586,.600,5.1,6.5,.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
